Region,Soil_Type,Soil_pH,Organic_Matter_%,Rainfall_mm_per_year,Temperature_C_avg,Climate_Zone,Irrigation_Level,Soil_Fertility,Growing_Season_days,Yield_tons_per_hectare,Best_Crop
South America,Sandy,5.6999498316360055,2.8369955678634686,560.4387146892088,30.70829216108306,Dry,High,Low,113,15.042968277837737,Soybean
South America,Clay,5.514132610439435,1.092249700165663,832.8329639681472,27.311890601730084,Temperate,Medium,Low,148,14.500889244299591,Soybean
Asia,Loam,7.466461771613576,2.8670515729919197,504.7340613690797,27.434904790236004,Temperate,Medium,High,140,14.78522157674473,Corn
Asia,Sandy,5.961787651244298,1.9641018641040469,1182.5542542718413,19.29890751321496,Continental,Medium,Medium,149,14.55712831657366,Soybean
South America,Sandy,6.825044568707964,2.246844304357644,754.1099092336087,21.946744566280618,Continental,High,High,95,14.813548258177493,Corn
Africa,Loam,6.954543991712842,2.3061630752233415,521.3166118254592,23.49199470665861,Temperate,Medium,Medium,167,12.713297513690344,Wheat
South America,Sandy,6.213506653387179,2.123738038749523,954.7400833667364,17.309291691685203,Temperate,Low,Low,130,11.24376839365922,Barley
Europe,Loam,6.958014336081975,4.0850813867437825,697.3349189205668,22.910613973565198,Tropical,Low,High,94,15.571798125864099,Corn
Asia,Loam,5.690820232980823,2.4832730087930655,766.358982380183,25.82384322752262,Temperate,Low,High,151,15.655424459542504,Corn
North America,Loam,6.012136645522648,1.1617343581537254,620.3584121088643,15.331185795439751,Tropical,High,Low,168,10.022639379526197,Barley
Asia,Clay,6.128711962152654,3.034282764658811,817.4094136476342,18.504963247670663,Continental,Low,High,112,14.002314803261678,Corn
Africa,Sandy,6.7487080962675865,2.182534743350856,1257.4451965914584,23.524906556663602,Continental,High,High,95,17.771187433432626,Rice
South America,Clay,7.313656883091508,2.0885289975385413,734.4749633443995,15.692009728758356,Temperate,High,Medium,116,12.487667743450116,Barley
Europe,Loam,5.739730734667366,2.350460685614512,741.609465834876,12.92314628974793,Dry,Medium,High,168,11.25503710320769,Barley
North America,Clay,5.993752125677203,3.7852170913591534,796.9033319976443,19.863117772074208,Continental,Low,Low,92,12.435359747479978,Soybean
Europe,Loam,6.190142496053366,3.537405378805455,601.482764119362,17.791169883869934,Tropical,Medium,Medium,91,12.432606546211566,Barley
Africa,Clay,5.9752750879848,3.9128653944474383,1028.5645629030041,23.759665163433873,Continental,Medium,High,113,17.579094594297825,Rice
North America,Loam,5.581550283109528,3.3635717727529673,795.623825132247,15.047318374346558,Continental,Low,Low,148,10.90002319136619,Barley
South America,Loam,5.848732858009983,3.763750952409864,929.8173465258212,13.885632316623466,Temperate,High,High,128,13.934150543375917,Barley
Asia,Loam,7.492507399515849,4.8616774051551745,735.5876967588649,11.447352107374845,Dry,Medium,Low,158,11.560975286078909,Barley
Africa,Loam,7.294220519905155,4.548345697060469,1059.8793628528974,15.664269219752233,Dry,Low,Low,122,13.297341777049288,Barley
